"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"WEE-MAG.IN2-32","PROV","OPT",61,61,0,0,20.63,2332,228178,"PA1"
"WEE-MAG.IN2-33","FEAS","OPT",61,60,0,0,600.01,318696,15787831,"PA1"
"WEE-MAG.IN2-34","PROV","OPT",61,61,0,0,10.81,2198,87380,"PA1"
"WEE-MAG.IN2-35","PROV","OPT",60,60,0,0,15.48,2400,148352,"PA1"
"WEE-MAG.IN2-36","PROV","OPT",60,60,0,0,5.02,1094,69460,"PA1"
"WEE-MAG.IN2-37","FEAS","SUB",64,60,4,4,600.05,677156,7143940,"PA1"
"WEE-MAG.IN2-38","PROV","OPT",60,60,0,0,3.89,765,50486,"PA1"
"WEE-MAG.IN2-39","PROV","OPT",60,60,0,0,2.42,155,28073,"PA1"
"WEE-MAG.IN2-40","PROV","OPT",60,60,0,0,1.3,58,2826,"PA1"
"WEE-MAG.IN2-41","PROV","OPT",59,59,0,0,5.98,814,113359,"PA1"
"WEE-MAG.IN2-42","PROV","OPT",55,55,0,0,14.35,2926,163748,"PA1"
"WEE-MAG.IN2-43","PROV","OPT",50,50,0,0,6.78,4035,56285,"PA1"
"WEE-MAG.IN2-45","FEAS","OPT",38,34,0,0,600.1,64498,8012377,"PA1"
"WEE-MAG.IN2-46","FEAS","OPT",34,33,0,0,600.01,121651,11499498,"PA1"
"WEE-MAG.IN2-47","FEAS","OPT",33,32,0,0,600.04,167072,9049607,"PA1"
"WEE-MAG.IN2-49","FEAS","OPT",32,31,0,0,600.01,1060600,13777774,"PA1"
"WEE-MAG.IN2-50","FEAS","OPT",32,31,0,0,600.01,357897,14103264,"PA1"
"WEE-MAG.IN2-52","PROV","OPT",31,31,0,0,30.3,10684,363896,"PA1"
"WEE-MAG.IN2-54","PROV","OPT",31,31,0,0,1.54,0,6603,"PA1"
"WEE-MAG.IN2-56","PROV","OPT",30,30,0,0,22.53,26560,498452,"PA1"
"ARC83.IN2-37861","PROV","OPT",21,21,0,0,15.42,6959,231480,"PA2"
"ARC83.IN2-39851","PROV","OPT",20,20,0,0,11.69,6804,247024,"PA2"
"ARC83.IN2-42061","PROV","OPT",19,19,0,0,41.62,75435,1498107,"PA2"
"ARC83.IN2-44541","PROV","OPT",18,18,0,0,10.42,4383,202378,"PA2"
"ARC83.IN2-47321","PROV","OPT",17,17,0,0,1.71,1390,47104,"PA2"
"ARC83.IN2-50481","PROV","OPT",16,16,0,0,5.31,2448,151492,"PA2"
"ARC83.IN2-54081","PROV","OPT",15,15,0,0,1.62,1238,49466,"PA2"
"ARC83.IN2-58241","PROV","OPT",14,14,0,0,1.22,1494,31265,"PA2"
"ARC83.IN2-58531","PROV","OPT",14,14,0,0,1.13,1004,27789,"PA2"
